uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
e2e70cae-8f7f-433a-8352-ffb44823010f,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-04-01T13:13:00Z,2021-04-01T13:13:00Z,NEON.DOC.014048vN,TALL_054-M-31-18-20210401,A00000232779,TALL_054-M-31-18-20210401-KCL,B00000093143,TALL_054-M-31-18,tInitial,0,2021-04-01T18:51:00Z,TALL-20210401-BRef1,10,101,2021-04-01T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0001-7717-279X,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
c6c865d5-f3f5-4e8d-b96d-2b0a5a4db54a,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-04-01T13:13:00Z,2021-04-26T14:05:00Z,NEON.DOC.014048vN,TALL_054-M-31-18-20210426,NA,TALL_054-M-31-18-20210426-KCL,B00000057288,TALL_054-M-31-18,tFinal,25.04,2021-04-26T16:59:00Z,TALL-20210426-BRef1,10.01,100,2021-04-26T20:00:00Z,OK,NA,0000-0002-8839-6825,0000-0003-3172-1559,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
d2571360-0a2f-4b95-a764-2cdb031e97d3,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-04-01T13:53:00Z,2021-04-01T13:53:00Z,NEON.DOC.014048vN,TALL_054-M-13.5-7.5-20210401,A00000232778,TALL_054-M-13.5-7.5-20210401-KCL,B00000093142,TALL_054-M-13.5-7.5,tInitial,0,2021-04-01T18:47:00Z,TALL-20210401-BRef1,10.01,101,2021-04-01T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0001-7717-279X,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
396c9eaa-bc4e-41a1-89ed-364296887eeb,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-04-01T13:53:00Z,2021-04-26T14:16:00Z,NEON.DOC.014048vN,TALL_054-M-13.5-7.5-20210426,NA,TALL_054-M-13.5-7.5-20210426-KCL,B00000057287,TALL_054-M-13.5-7.5,tFinal,25.02,2021-04-26T17:09:00Z,TALL-20210426-BRef1,10,99,2021-04-26T20:00:00Z,OK,NA,0000-0002-8839-6825,0000-0003-3172-1559,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
330e2ba9-b919-4210-b953-749c90658535,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-04-01T14:11:00Z,2021-04-01T14:11:00Z,NEON.DOC.014048vN,TALL_054-M-9.5-30-20210401,A00000232777,TALL_054-M-9.5-30-20210401-KCL,B00000093141,TALL_054-M-9.5-30,tInitial,0,2021-04-01T18:57:00Z,TALL-20210401-BRef1,10.01,100,2021-04-01T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0001-7717-279X,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
7396c102-928d-462b-99fb-e5f9fcdf1535,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-04-01T14:11:00Z,2021-04-26T14:25:00Z,NEON.DOC.014048vN,TALL_054-M-9.5-30-20210426,NA,TALL_054-M-9.5-30-20210426-KCL,B00000057286,TALL_054-M-9.5-30,tFinal,25.01,2021-04-26T17:06:00Z,TALL-20210426-BRef1,9.87,98,2021-04-26T20:00:00Z,OK,NA,0000-0002-8839-6825,0000-0003-3172-1559,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
98ede06c-4d43-42ae-a475-6f06024c184b,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-06-03T12:00:00Z,2021-06-03T12:00:00Z,NEON.DOC.014048vN,TALL_054-M-36-7-20210603,A00000147208,TALL_054-M-36-7-20210603-KCL,B00000057473,TALL_054-M-36-7,tInitial,0,2021-06-04T18:36:00Z,TALL-20210604-BRef1,5.02,50,2021-06-04T22:00:00Z,OK,NA,0000-0002-4787-8721,0000-0002-4787-8721,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
fcf63629-2eea-42d9-91b2-00072cba85ae,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-06-03T12:00:00Z,2021-06-23T13:00:00Z,NEON.DOC.014048vN,TALL_054-M-36-7-20210623,A00000233004,TALL_054-M-36-7-20210623-KCL,B00000057549,TALL_054-M-36-7,tFinal,20.04,2021-06-24T15:34:00Z,TALL-20210624-BRef1,5.01,50,2021-06-24T18:00:00Z,OK,NA,0000-0002-4787-8721,0000-0001-6892-534X,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
aa5a8d72-ba4d-46df-8088-dbfb4257ceaf,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-06-03T12:25:00Z,2021-06-03T12:25:00Z,NEON.DOC.014048vN,TALL_054-M-5-25.5-20210603,A00000147209,TALL_054-M-5-25.5-20210603-KCL,B00000057475,TALL_054-M-5-25.5,tInitial,0,2021-06-04T18:34:00Z,TALL-20210604-BRef1,5,50,2021-06-04T21:00:00Z,OK,NA,0000-0002-4787-8721,0000-0002-4787-8721,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
378428e0-147d-40bc-87e3-76a879636857,TALL_054.basePlot.bgc,D08,TALL,TALL_054,tower,2021-06-03T12:25:00Z,2021-06-23T13:08:00Z,NEON.DOC.014048vN,TALL_054-M-5-25.5-20210623,A00000233003,TALL_054-M-5-25.5-20210623-KCL,B00000057548,TALL_054-M-5-25.5,tFinal,20.03,2021-06-24T15:36:00Z,TALL-20210624-BRef1,5,50,2021-06-24T18:00:00Z,OK,NA,0000-0002-4787-8721,0000-0001-6892-534X,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,ntr_internalLab
