uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ace7f2e4-ac2c-4c7b-9758-81e929105cc1,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,41_400,37.5,35,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-04-03T19:14:00Z,2023-04-03T19:14:00Z,winterSpringTransition,OK - no known exceptions,UKFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_043-M-41-20230403,A00000434751,N,M,OK,9,4,0,33,maximum,auger,1,UKFS_043-M-41-20230403-GEN,B00000017172,OK,dry ice,NA,D00000156539,NA,NA,D00000156547,NA,NA,D00000156549,NA,NA,D00000156541,NA,NA,D00000156545,NA,dry ice,2 mL vial,UKFS_043-M-41-20230403-BM,B00000163159,OK,NA,0000-0003-2131-612X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
9e1fba05-aa81-4188-be45-7ff27068ddf0,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,23_400,32,8,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-04-03T19:50:00Z,2023-04-03T19:50:00Z,winterSpringTransition,OK - no known exceptions,UKFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_043-M-23-20230403,A00000434830,N,M,OK,8.9,2,0,31,maximum,auger,1,UKFS_043-M-23-20230403-GEN,B00000017198,OK,dry ice,NA,D00000156543,NA,NA,D00000156540,NA,NA,D00000156550,NA,NA,D00000156536,NA,NA,D00000156544,NA,dry ice,2 mL vial,UKFS_043-M-23-20230403-BM,B00000163146,OK,NA,0000-0003-2131-612X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
60937493-33e4-4a1c-b248-387a3ca8b991,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,21_400,1.5,2.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-04-03T20:30:00Z,2023-04-03T20:30:00Z,winterSpringTransition,OK - no known exceptions,UKFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_043-M-21-20230403,A00000434814,N,M,OK,8.8,3,0,30,maximum,auger,1,UKFS_043-M-21-20230403-GEN,B00000083313,OK,dry ice,NA,D00000156542,NA,NA,D00000156537,NA,NA,D00000156538,NA,NA,D00000156548,NA,NA,D00000156546,NA,dry ice,2 mL vial,UKFS_043-M-21-20230403-BM,B00000163151,OK,NA,0000-0003-2131-612X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
45c18a81-6076-418b-9793-9ab487bbeb93,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,41_400,20.5,34.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-10-30T16:24:00Z,2023-10-30T16:24:00Z,fallWinterTransition,OK - no known exceptions,UKFS.fallWinterTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_043-M-41-20231030,A00000437595,N,M,OK,8.4,4,0,30,maximum,auger,1,UKFS_043-M-41-20231030-GEN,B00000163316,OK,ice packs,NA,C00000076002,NA,NA,C00000075970,NA,NA,C00000075974,NA,NA,C00000076016,NA,NA,C00000076001,NA,ice packs,5 mL vial,UKFS_043-M-41-20231030-BM,B00000164264,OK,microbial samples stored on ice packs for 2-3 hrs before transferring to dry ice.,0000-0003-2131-612X,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
6ea598b5-5a13-4cb5-b515-9737c8ae2dd7,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,21_400,6,17.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-10-30T16:41:00Z,2023-10-30T16:41:00Z,fallWinterTransition,OK - no known exceptions,UKFS.fallWinterTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_043-M-21-20231030,A00000437593,N,M,OK,8.6,5,0,30,maximum,auger,1,UKFS_043-M-21-20231030-GEN,B00000163318,OK,ice packs,NA,C00000076011,NA,NA,C00000075965,NA,NA,C00000076010,NA,NA,C00000075955,NA,NA,C00000076019,NA,ice packs,5 mL vial,UKFS_043-M-21-20231030-BM,B00000164262,OK,microbial samples stored on ice packs for 2-3 hrs before transferring to dry ice.,0000-0003-2131-612X,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
327efcb1-ebfb-497a-a778-98a18d5a630b,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,39_400,2.5,22.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-10-30T17:09:00Z,2023-10-30T17:09:00Z,fallWinterTransition,OK - no known exceptions,UKFS.fallWinterTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_043-M-39-20231030,A00000437594,N,M,OK,7.9,4,0,31,maximum,auger,1,UKFS_043-M-39-20231030-GEN,B00000163317,OK,ice packs,NA,C00000075962,NA,NA,C00000075949,NA,NA,C00000076006,NA,NA,C00000075982,NA,NA,C00000075986,NA,ice packs,5 mL vial,UKFS_043-M-39-20231030-BM,B00000164263,OK,microbial samples stored on ice packs for 2-3 hrs before transferring to dry ice.,0000-0003-2131-612X,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
2e506390-1519-4e35-a167-57facfbe7e61,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,41_400,22,31.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-07-04T16:21:00Z,2023-07-04T16:21:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,UKFS_043-M-41-20230704,A00000436445,N,M,OK,19.8,1,0,18.5,obstruction,auger,2,UKFS_043-M-41-20230704-GEN,B00000163759,OK,dry ice,NA,D00000222937,NA,NA,D00000222935,NA,NA,D00000222930,NA,NA,D00000222938,NA,NA,D00000222932,NA,dry ice,2 mL vial,UKFS_043-M-41-20230704-BM,B00000163793,OK,NA,0009-0005-1689-6184,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
142f5b3c-c8f5-4ab1-a8da-5039cd886103,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,41_400,22,31.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-07-04T16:21:00Z,2023-07-25T14:54:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,cap missing,UKFS_043-M-41-20230725,A00000436659,N,M,OK,24.4,1.5,0,31,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2980-5449,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
a0a20416-b76f-4a06-86a1-192dfe1ce822,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,21_400,12.5,8.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-07-04T17:50:00Z,2023-07-04T17:50:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,UKFS_043-M-21-20230704,A00000436443,N,M,OK,19.8,2,0,30,maximum,auger,1,UKFS_043-M-21-20230704-GEN,B00000163757,OK,dry ice,NA,D00000222940,NA,NA,D00000222928,NA,NA,D00000222942,NA,NA,D00000222933,NA,NA,D00000222939,NA,dry ice,2 mL vial,UKFS_043-M-21-20230704-BM,B00000163799,OK,NA,0009-0005-1689-6184,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
9cee0841-be8d-484b-92de-93cee1ec5393,D06,UKFS,UKFS_043,UKFS_043.basePlot.bgc,tower,deciduousForest,21_400,12.5,8.5,WGS84,39.035201,-95.194409,20.1,291.5,0.23,NEON.DOC.014048vO,2023-07-04T17:50:00Z,2023-07-25T15:09:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,UKFS_043-M-21-20230725,A00000436657,N,M,OK,21.4,2,0,31,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2980-5449,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
