uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9e66318f-b00d-4e0e-8522-964b0d7678fa,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,39_400,9,32,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vM,2020-03-10T13:09:00Z,2020-03-10T13:09:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2020,0,tInitial,microbesBiomass,OK,no incubation,NA,BLAN_001-M-9-32-20200310,NA,N,M,OK,7.9,1,0,30.5,maximum,corer,1,BLAN_001-M-9-32-20200310-GEN,B00000051728,OK,NA,BLAN_001-M-9-32-20200310-GA1,C00000015506,NA,BLAN_001-M-9-32-20200310-GA2,C00000015507,NA,BLAN_001-M-9-32-20200310-GA3,C00000015508,NA,BLAN_001-M-9-32-20200310-GA4,C00000015509,NA,BLAN_001-M-9-32-20200310-GA5,C00000015510,NA,NA,NA,BLAN_001-M-9-32-20200310-BM,B00000051816,OK,NA,0000-0003-1337-5330,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
c1af8f1a-abd5-4fac-ac13-79709028d82c,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,41_400,37,36,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vM,2020-03-10T13:46:00Z,2020-03-10T13:46:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2020,0,tInitial,microbesBiomass,OK,no incubation,NA,BLAN_001-M-37-36-20200310,NA,N,M,OK,8.1,0.5,0,31,maximum,corer,1,BLAN_001-M-37-36-20200310-GEN,B00000051729,OK,NA,BLAN_001-M-37-36-20200310-GA1,C00000015511,NA,BLAN_001-M-37-36-20200310-GA2,C00000015512,NA,BLAN_001-M-37-36-20200310-GA3,C00000015513,NA,BLAN_001-M-37-36-20200310-GA4,C00000015514,NA,BLAN_001-M-37-36-20200310-GA5,C00000015515,NA,NA,NA,BLAN_001-M-37-36-20200310-BM,B00000051829,OK,NA,0000-0003-1337-5330,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
276e1cf5-9108-48fd-89c1-5bb9f3ef524c,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,23_400,31.5,18,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vM,2020-03-10T14:14:00Z,2020-03-10T14:14:00Z,winterSpringTransition,OK - no known exceptions,BLAN.winterSpringTransition.2020,0,tInitial,microbesBiomass,OK,no incubation,NA,BLAN_001-M-31.5-18-20200310,NA,N,M,OK,7.8,1.5,0,31,maximum,corer,1,BLAN_001-M-31.5-18-20200310-GEN,B00000051730,OK,NA,BLAN_001-M-31.5-18-20200310-GA1,C00000015516,NA,BLAN_001-M-31.5-18-20200310-GA2,C00000015517,NA,BLAN_001-M-31.5-18-20200310-GA3,C00000015518,NA,BLAN_001-M-31.5-18-20200310-GA4,C00000015519,NA,BLAN_001-M-31.5-18-20200310-GA5,C00000015520,NA,NA,NA,BLAN_001-M-31.5-18-20200310-BM,B00000051807,OK,NA,0000-0003-1337-5330,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
a2c11f7b-64c7-4185-8d90-fed9700c47ff,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,39_400,9,32,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vM,2020-03-10T13:09:00Z,2020-04-06T12:00:00Z,winterSpringTransition,NA,BLAN.winterSpringTransition.2020,NA,tFinal,fieldOnly,logistical,covered core,NA,BLAN_001-39-20200406-LOGISTICAL,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-7914-5891,NA,20251217T193506Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
976b56a6-defc-49f4-9a1b-50aa18f51539,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,41_400,37,36,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vM,2020-03-10T13:46:00Z,2020-04-06T12:00:00Z,winterSpringTransition,NA,BLAN.winterSpringTransition.2020,NA,tFinal,fieldOnly,logistical,covered core,NA,BLAN_001-41-20200406-LOGISTICAL,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-7914-5891,NA,20251217T193506Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
f4719140-6611-447b-8488-b25aeff346a8,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,23_400,31.5,18,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vM,2020-03-10T14:14:00Z,2020-04-06T12:00:00Z,winterSpringTransition,NA,BLAN.winterSpringTransition.2020,NA,tFinal,fieldOnly,logistical,covered core,NA,BLAN_001-23-20200406-LOGISTICAL,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-7914-5891,NA,20251217T193506Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
f9a98d90-3e13-45a4-b64a-ca49cf9a504d,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,21_400,15,3,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vN,2020-07-14T17:53:00Z,2020-08-03T15:19:00Z,peakGreenness,OK - no known exceptions,BLAN.peakGreenness.2020,0,tFinal,fieldOnly,OK,covered core,OK,BLAN_001-M-15-3-20200803,NA,N,M,OK,22,1.4,0,26,NA,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T193949Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
5006f8a2-8940-4dab-87fc-59d5e55b25b2,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,41_400,33,23.5,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vN,2020-07-14T18:24:00Z,2020-08-03T15:40:00Z,peakGreenness,OK - no known exceptions,BLAN.peakGreenness.2020,0,tFinal,fieldOnly,OK,covered core,OK,BLAN_001-M-33-23.5-20200803,NA,N,M,OK,21.8,0,0,28,NA,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T193949Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
a30aa4f2-ba96-4639-93bb-3c1fd09d3ec4,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,39_400,3.5,35.5,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vN,2020-07-14T18:42:00Z,2020-08-03T15:27:00Z,peakGreenness,OK - no known exceptions,BLAN.peakGreenness.2020,0,tFinal,fieldOnly,OK,covered core,OK,BLAN_001-M-3.5-35.5-20200803,NA,N,M,OK,22.3,0.5,0,25.5,NA,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4806-3126,NA,20251217T193949Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
a1a8d5c8-4b96-4052-91d7-be3082d1d1ff,D02,BLAN,BLAN_001,BLAN_001.basePlot.bgc,distributed,deciduousForest,21_400,15,3,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.014048vN,2020-07-14T17:53:00Z,2020-07-14T17:53:00Z,peakGreenness,OK - no known exceptions,BLAN.peakGreenness.2020,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,BLAN_001-M-15-3-20200714,NA,N,M,OK,20.8,0.3,0,29.4,maximum,corer,1,BLAN_001-M-15-3-20200714-GEN,B00000051877,OK,NA,BLAN_001-M-15-3-20200714-GA1,C00000015881,NA,BLAN_001-M-15-3-20200714-GA2,C00000015882,NA,BLAN_001-M-15-3-20200714-GA3,C00000015883,NA,BLAN_001-M-15-3-20200714-GA4,C00000015884,NA,BLAN_001-M-15-3-20200714-GA5,C00000015885,NA,NA,NA,BLAN_001-M-15-3-20200714-BM,B00000052052,OK,NA,0000-0002-1718-8623,NA,20251217T193827Z,RELEASE-2026,DP1.10086.001,BLAN,2020,sls_soilCoreCollection
