uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a6d262a3-b674-4d54-ae85-22d81e28c739,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,33.5,29.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-03-11T17:19:00Z,2019-04-02T16:49:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_046-M-33.5-29.5-20190402,B00000043459,NA,M,NA,17,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7776-2789,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
4a98fd56-6c93-4443-99de-d6c8aed4c87d,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,28.5,9.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-03-11T17:55:00Z,2019-04-02T16:54:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_046-M-28.5-9.5-20190402,B00000043457,NA,M,NA,15.6,0.1,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7776-2789,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
ccd05e80-3a00-4ff7-b03c-ea95a6492753,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,18.5,37.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-03-11T18:12:00Z,2019-04-02T17:08:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_046-M-18.5-37.5-20190402,B00000043458,NA,M,NA,15.7,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7776-2789,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
3582e5d2-c7d0-42ff-82b3-f964154f67e5,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,33.5,29.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-03-11T17:19:00Z,2019-03-11T17:19:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,no incubation,NA,SJER_046-M-33.5-29.5-20190311,B00000043216,NA,M,NA,9.5,0.5,0,26,maximum,auger,1,SJER_046-M-33.5-29.5-20190311-GEN,B00000043215,OK,NA,SJER_046-M-33.5-29.5-20190311-GA1,C00000009400,NA,SJER_046-M-33.5-29.5-20190311-GA2,C00000009550,NA,SJER_046-M-33.5-29.5-20190311-GA3,C00000009401,NA,SJER_046-M-33.5-29.5-20190311-GA4,C00000009556,NA,SJER_046-M-33.5-29.5-20190311-GA5,C00000009555,NA,NA,NA,SJER_046-M-33.5-29.5-20190311-BM,B00000043263,NA,NA,0000-0002-6721-6581,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
ad88b188-680c-42b7-81ad-14a14f59fd8a,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,28.5,9.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-03-11T17:55:00Z,2019-03-11T17:55:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,no incubation,NA,SJER_046-M-28.5-9.5-20190311,B00000043209,NA,M,NA,9.9,0.5,0,30,maximum,auger,1,SJER_046-M-28.5-9.5-20190311-GEN,B00000043213,OK,NA,SJER_046-M-28.5-9.5-20190311-GA1,C00000009807,NA,SJER_046-M-28.5-9.5-20190311-GA2,C00000009806,NA,SJER_046-M-28.5-9.5-20190311-GA3,C00000009800,NA,SJER_046-M-28.5-9.5-20190311-GA4,C00000009564,NA,SJER_046-M-28.5-9.5-20190311-GA5,C00000009812,NA,NA,NA,SJER_046-M-28.5-9.5-20190311-BM,B00000043286,NA,NA,0000-0002-6721-6581,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
47b89ae3-7368-48b6-a364-47cc5fba05e5,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,18.5,37.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-03-11T18:12:00Z,2019-03-11T18:12:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,no incubation,NA,SJER_046-M-18.5-37.5-20190311,B00000043224,NA,M,NA,9.6,0.5,0,27,maximum,auger,1,SJER_046-M-18.5-37.5-20190311-GEN,B00000043212,OK,NA,SJER_046-M-18.5-37.5-20190311-GA1,C00000009798,NA,SJER_046-M-18.5-37.5-20190311-GA2,C00000009797,NA,SJER_046-M-18.5-37.5-20190311-GA3,C00000009809,NA,SJER_046-M-18.5-37.5-20190311-GA4,C00000009799,NA,SJER_046-M-18.5-37.5-20190311-GA5,C00000009808,NA,NA,NA,SJER_046-M-18.5-37.5-20190311-BM,B00000043287,NA,NA,0000-0002-6721-6581,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
1893189e-a642-4705-982a-5d0c0991411a,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,14.5,4,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-05-06T17:48:00Z,2019-06-03T16:34:00Z,wetDryTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_046-M-14.5-4-20190603,A00000061912,NA,M,NA,19.6,1,0,27,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6721-6581,NA,20251217T193617Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
4a6bf290-e5e5-410a-8a41-b467e8946a4e,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,20,6,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-05-06T17:57:00Z,2019-06-03T16:31:00Z,wetDryTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_046-M-20-6-20190603,A00000061911,NA,M,NA,17.7,0.5,0,23,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6721-6581,NA,20251217T193617Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
c271a5c4-357d-4d0e-8d8a-918058794808,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,10,33.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-05-06T18:07:00Z,2019-06-03T16:25:00Z,wetDryTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_046-M-10-33.5-20190603,A00000061904,NA,M,NA,20.6,0.5,0,22,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6721-6581,NA,20251217T193617Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
6a7cf658-8389-4f5a-b095-e2e403ceb00a,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,NA,14.5,4,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vL,2019-05-06T17:48:00Z,2019-05-06T17:48:00Z,wetDryTransition,NA,NA,0,tInitial,microbesBiomass,NA,no incubation,NA,SJER_046-M-14.5-4-20190506,B00000043659,NA,M,NA,19,3,0,30,maximum,auger,1,SJER_046-M-14.5-4-20190506-GEN,B00000043665,OK,NA,SJER_046-M-14.5-4-20190506-GA1,C00000048851,NA,SJER_046-M-14.5-4-20190506-GA2,C00000048868,NA,SJER_046-M-14.5-4-20190506-GA3,C00000048855,NA,SJER_046-M-14.5-4-20190506-GA4,C00000048864,NA,SJER_046-M-14.5-4-20190506-GA5,C00000048852,NA,NA,NA,SJER_046-M-14.5-4-20190506-BM,B00000043677,NA,NA,0000-0002-6721-6581,NA,20251217T193743Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
