uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
e3a9b1fb-edc6-4a10-bbb1-93e276aed2db,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,41_400,NA,NA,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T14:00:00Z,2024-04-15T14:00:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,NA,tInitial,microbesBiomass,logistical,NA,NA,HARV_034-41-20240415-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited resources,0009-0004-0301-9767,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
7ca08c91-7994-4864-86ec-d7441229dae2,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,21_400,3,2,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T14:21:00Z,2024-04-15T14:21:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,HARV_034-M-21-20240415,A00000159741,N,M,OK,5.7,3.3,7.3,14.9,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARV_034-M-21-20240415-BM,B00000032620,OK,rock obstruction,0009-0004-0301-9767,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
d64cbac8-439a-4c35-a979-e62f1d18917b,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,21_400,3,2,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T14:21:00Z,2024-04-15T14:21:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,HARV_034-O-21-20240415,A00000159738,N,O,OK,5.7,3.3,0,7.3,entire,brownie cutter,1,HARV_034-O-21-20240415-GEN,B00000032979,OK,dry ice,NA,C00000059882,NA,NA,C00000059880,NA,NA,C00000059881,NA,NA,C00000059890,NA,NA,C00000059883,NA,dry ice,5 mL vial,HARV_034-O-21-20240415-BM,B00000032609,OK,NA,0009-0004-0301-9767,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
be4606d4-61dd-4806-9a57-e6d53369b6a5,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,39_400,16.5,31.5,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T15:01:00Z,2024-04-15T15:01:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,HARV_034-O-39-20240415,A00000159739,N,O,OK,5.2,3,0,2.9,entire,brownie cutter,2,HARV_034-O-39-20240415-GEN,B00000032978,OK,dry ice,NA,C00000059886,NA,NA,C00000059888,NA,NA,C00000059893,NA,NA,C00000059885,NA,NA,C00000059896,NA,dry ice,5 mL vial,HARV_034-O-39-20240415-BM,B00000032607,OK,NA,0009-0004-0301-9767,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
bbf2aeb2-2d4a-4884-98ec-bd5699372ed9,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,39_400,16.5,31.5,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T15:01:00Z,2024-04-15T15:01:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,HARV_034-M-39-20240415,A00000159742,N,M,OK,5.2,3,2.9,26.3,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARV_034-M-39-20240415-BM,B00000032626,OK,NA,0009-0004-0301-9767,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
e7b06dba-0f22-4dc9-80ea-864c384ab513,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,21_400,3,2,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T14:21:00Z,2024-05-07T15:28:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,HARV_034-M-21-20240507,A00000159786,N,M,OK,9.9,2.6,4.7,15.3,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0005-7635-8599,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
a886cb81-5419-4ff5-8c33-4df3db9ee19d,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,21_400,3,2,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T14:21:00Z,2024-05-07T15:28:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,HARV_034-O-21-20240507,A00000159802,N,O,OK,9.9,2.6,0,4.7,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0005-7635-8599,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
cef8e299-ab18-475b-9f18-a6dc980f9d02,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,39_400,16.5,31.5,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T15:01:00Z,2024-05-07T15:34:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,HARV_034-O-39-20240507,A00000159803,N,O,OK,9.6,3.7,0,8,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0005-7635-8599,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
44ce3b1b-0fa6-47e2-8534-cfbcad66e357,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,39_400,16.5,31.5,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-04-15T15:01:00Z,2024-05-07T15:34:00Z,winterSpringTransition,OK - no known exceptions,HARV.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,HARV_034-M-39-20240507,A00000159787,N,M,OK,9.6,3.7,8,23,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0005-7635-8599,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
4d52d41b-7f62-4658-8c26-12cdd45ca108,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,41_400,30,28,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vP,2024-10-15T18:21:00Z,2024-10-15T18:21:00Z,fallWinterTransition,OK - no known exceptions,HARV.fallWinterTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,HARV_034-O-41-20241015,A00000321451,N,O,OK,9.6,3.8,0,8.1,entire,brownie cutter,1,HARV_034-O-41-20241015-GEN,B00000032977,OK,dry ice,NA,C00000059897,NA,NA,C00000059884,NA,NA,C00000059901,NA,NA,C00000059887,NA,NA,C00000059899,NA,dry ice,5 mL vial,HARV_034-O-41-20241015-BM,B00000032739,OK,NA,0000-0003-3463-8507,NA,20251217T193645Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilCoreCollection
