uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
7b14e4ba-1c14-46aa-8431-4fba0fabad79,D07,ORNL,ORNL_049,ORNL_049.basePlot.bgc,tower,deciduousForest,NA,34.5,0,WGS84,35.964792,-84.278894,20.1,315.6,0.18,NEON.DOC.014048vL,2019-03-25T15:41:00Z,2019-03-25T15:41:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_049-M-34.5-0-20190325,A00000045372,NA,M,Thin O horizon present,10.1,3,0,24,obstruction,auger,1,ORNL_049-M-34.5-0-20190325-GEN,B00000025150,OK,NA,ORNL_049-M-34.5-0-20190325-GA1,C00000026790,NA,ORNL_049-M-34.5-0-20190325-GA2,C00000026798,NA,ORNL_049-M-34.5-0-20190325-GA3,C00000026792,NA,ORNL_049-M-34.5-0-20190325-GA4,C00000026800,NA,ORNL_049-M-34.5-0-20190325-GA5,C00000026794,NA,NA,NA,NA,NA,NA,Thin O horizon around 0.5 cm that was sampled as part of the M,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
2463a98e-ed4a-490d-9c20-bc39321f3a89,D07,ORNL,ORNL_049,ORNL_049.basePlot.bgc,tower,deciduousForest,NA,19,39.5,WGS84,35.964792,-84.278894,20.1,315.6,0.18,NEON.DOC.014048vL,2019-03-25T16:23:00Z,2019-03-25T16:23:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_049-M-19-39.5-20190325,A00000045373,NA,M,Thin O horizon present,9.7,5.5,0,31,maximum,auger,1,ORNL_049-M-19-39.5-20190325-GEN,B00000025149,OK,NA,ORNL_049-M-19-39.5-20190325-GA1,C00000026803,NA,ORNL_049-M-19-39.5-20190325-GA2,C00000026802,NA,ORNL_049-M-19-39.5-20190325-GA3,C00000026805,NA,ORNL_049-M-19-39.5-20190325-GA4,C00000026799,NA,ORNL_049-M-19-39.5-20190325-GA5,C00000026804,NA,NA,NA,NA,NA,NA,Thin O horizon .5cm contained in sample,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
53629ea0-8de9-4971-88d0-5eb0bc268d4a,D07,ORNL,ORNL_049,ORNL_049.basePlot.bgc,tower,deciduousForest,NA,35,31.5,WGS84,35.964792,-84.278894,20.1,315.6,0.18,NEON.DOC.014048vL,2019-03-25T17:04:00Z,2019-03-25T17:04:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_049-M-35-31.5-20190325,A00000045374,NA,M,NA,9.6,4.5,0,32,maximum,auger,1,ORNL_049-M-35-31.5-20190325-GEN,B00000025151,OK,NA,ORNL_049-M-35-31.5-20190325-GA1,C00000026778,NA,ORNL_049-M-35-31.5-20190325-GA2,C00000026779,NA,ORNL_049-M-35-31.5-20190325-GA3,C00000026780,NA,ORNL_049-M-35-31.5-20190325-GA4,C00000026801,NA,ORNL_049-M-35-31.5-20190325-GA5,C00000026783,NA,NA,NA,NA,NA,NA,NA,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
b0c8fb1b-1df3-4c2d-bb7c-2676d395a50e,D07,ORNL,ORNL_046,ORNL_046.basePlot.bgc,tower,deciduousForest,NA,36.5,12,WGS84,35.964418,-84.285882,20.1,338.5,0.15,NEON.DOC.014048vL,2019-03-26T13:50:00Z,2019-03-26T13:50:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_046-M-36.5-12-20190326,NA,NA,M,Thin O horizon present,10,4,0,30,maximum,auger,1,ORNL_046-M-36.5-12-20190326-GEN,B00000025152,OK,NA,ORNL_046-M-36.5-12-20190326-GA1,C00000026786,NA,ORNL_046-M-36.5-12-20190326-GA2,C00000026787,NA,ORNL_046-M-36.5-12-20190326-GA3,C00000026784,NA,ORNL_046-M-36.5-12-20190326-GA4,C00000026788,NA,ORNL_046-M-36.5-12-20190326-GA5,C00000026785,NA,NA,NA,NA,NA,NA,Thin O less than 0.5 cm sampled as part of M,0000-0001-5875-5527,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
2cf0449d-3f1e-4a3e-a708-14fefcce093d,D07,ORNL,ORNL_046,ORNL_046.basePlot.bgc,tower,deciduousForest,NA,32.5,27.5,WGS84,35.964418,-84.285882,20.1,338.5,0.15,NEON.DOC.014048vL,2019-03-26T14:25:00Z,2019-03-26T14:25:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_046-M-32.5-27.5-20190326,NA,NA,M,Thin O horizon present,9.7,3,0,34,maximum,auger,1,ORNL_046-M-32.5-27.5-20190326-GEN,B00000025153,OK,NA,ORNL_046-M-32.5-27.5-20190326-GA1,C00000026764,NA,ORNL_046-M-32.5-27.5-20190326-GA2,C00000026770,NA,ORNL_046-M-32.5-27.5-20190326-GA3,C00000026765,NA,ORNL_046-M-32.5-27.5-20190326-GA4,C00000026777,NA,ORNL_046-M-32.5-27.5-20190326-GA5,C00000026781,NA,NA,NA,NA,NA,NA,Thin O horizon 0.5 cm depth collected as part of M,0000-0001-5875-5527,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
14ba0db1-55ea-44bf-bf02-9d637df05b33,D07,ORNL,ORNL_046,ORNL_046.basePlot.bgc,tower,deciduousForest,NA,7,21.5,WGS84,35.964418,-84.285882,20.1,338.5,0.15,NEON.DOC.014048vL,2019-03-26T14:53:00Z,2019-03-26T14:53:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_046-M-7-21.5-20190326,NA,NA,M,Thin O horizon present,9.8,6,0,31,maximum,auger,1,ORNL_046-M-7-21.5-20190326-GEN,B00000025154,OK,NA,ORNL_046-M-7-21.5-20190326-GA1,C00000026771,NA,ORNL_046-M-7-21.5-20190326-GA2,C00000026772,NA,ORNL_046-M-7-21.5-20190326-GA3,C00000026782,NA,ORNL_046-M-7-21.5-20190326-GA4,C00000026776,NA,ORNL_046-M-7-21.5-20190326-GA5,C00000026774,NA,NA,NA,NA,NA,NA,Thin O horizon 0.5 cm depth sampled with M,0000-0001-5875-5527,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
5f1e2b57-62b8-487a-844c-ccec20625885,D07,ORNL,ORNL_053,ORNL_053.basePlot.bgc,tower,deciduousForest,NA,31.5,19.5,WGS84,35.965252,-84.286859,20.2,316,0.16,NEON.DOC.014048vL,2019-03-26T16:09:00Z,2019-03-26T16:09:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_053-M-31.5-19.5-20190326,NA,NA,M,NA,9,3,0,31,maximum,auger,1,ORNL_053-M-31.5-19.5-20190326-GEN,B00000025156,OK,NA,ORNL_053-M-31.5-19.5-20190326-GA1,C00000026820,NA,ORNL_053-M-31.5-19.5-20190326-GA2,C00000026821,NA,ORNL_053-M-31.5-19.5-20190326-GA3,C00000026822,NA,ORNL_053-M-31.5-19.5-20190326-GA4,C00000026819,NA,ORNL_053-M-31.5-19.5-20190326-GA5,C00000026824,NA,NA,NA,NA,NA,NA,O horizon 0.5 cm sampled with M horizon core,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
722baea2-df55-4ae4-81e8-64214637f8ee,D07,ORNL,ORNL_053,ORNL_053.basePlot.bgc,tower,deciduousForest,NA,32.5,30.5,WGS84,35.965252,-84.286859,20.2,316,0.16,NEON.DOC.014048vL,2019-03-26T16:57:00Z,2019-03-26T16:57:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_053-M-32.5-30.5-20190326,NA,NA,M,NA,9,5,0,20,obstruction,auger,1,ORNL_053-M-32.5-30.5-20190326-GEN,B00000025155,OK,NA,ORNL_053-M-32.5-30.5-20190326-GA1,C00000026813,NA,ORNL_053-M-32.5-30.5-20190326-GA2,C00000026816,NA,ORNL_053-M-32.5-30.5-20190326-GA3,C00000026817,NA,ORNL_053-M-32.5-30.5-20190326-GA4,C00000026797,NA,ORNL_053-M-32.5-30.5-20190326-GA5,C00000026815,NA,NA,NA,NA,NA,NA,No O horizon,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
4b8a885f-9da4-4fa6-83ae-d523dde95d7d,D07,ORNL,ORNL_053,ORNL_053.basePlot.bgc,tower,deciduousForest,NA,18.5,30,WGS84,35.965252,-84.286859,20.2,316,0.16,NEON.DOC.014048vL,2019-03-26T17:28:00Z,2019-03-26T17:28:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_053-M-18.5-30-20190326,NA,NA,M,NA,9.1,2,0,30,maximum,auger,1,ORNL_053-M-18.5-30-20190326-GEN,B00000025157,OK,NA,ORNL_053-M-18.5-30-20190326-GA1,C00000026791,NA,ORNL_053-M-18.5-30-20190326-GA2,C00000026795,NA,ORNL_053-M-18.5-30-20190326-GA3,C00000026796,NA,ORNL_053-M-18.5-30-20190326-GA4,C00000026809,NA,ORNL_053-M-18.5-30-20190326-GA5,C00000026812,NA,NA,NA,NA,NA,NA,NA,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
408de67c-ba84-4a2e-b531-37f1f7fbab60,D07,ORNL,ORNL_043,ORNL_043.basePlot.bgc,tower,deciduousForest,NA,7,8.5,WGS84,35.963926,-84.287233,20.1,322.2,0.11,NEON.DOC.014048vL,2019-03-26T18:28:00Z,2019-03-26T18:28:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,ORNL_043-M-7-8.5-20190326,NA,NA,M,NA,11.6,1,0,30,maximum,auger,1,ORNL_043-M-7-8.5-20190326-GEN,B00000025146,OK,NA,ORNL_043-M-7-8.5-20190326-GA1,C00000026744,NA,ORNL_043-M-7-8.5-20190326-GA2,C00000026742,NA,ORNL_043-M-7-8.5-20190326-GA3,C00000026750,NA,ORNL_043-M-7-8.5-20190326-GA4,C00000026752,NA,ORNL_043-M-7-8.5-20190326-GA5,C00000026740,NA,NA,NA,NA,NA,NA,Litter may have been accidentally removed during other field activities. thicker layer right around sample location,0000-0002-5381-0889,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,ORNL,2019,sls_soilCoreCollection
