uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9172778a-0d01-4e89-9f52-e8299724b825,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T12:27:00Z,2022-04-25T12:27:00Z,NEON.DOC.014048vO,BART_036-M-21-20220425,A00000157427,BART_036-M-21-20220425-KCL,B00000068960,BART_036-M-21-winterSpringTransition-2022,tInitial,0,2022-04-26T15:40:00Z,BART-20220426-BRef1,10.3,100,2022-04-26T20:00:00Z,OK,NA,0000-0003-3463-8507,0000-0003-1265-2180,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
3f4f034b-669e-4936-9071-195e3de00eeb,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T12:27:00Z,2022-04-25T12:27:00Z,NEON.DOC.014048vO,BART_036-O-21-20220425,A00000157445,BART_036-O-21-20220425-KCL,B00000068899,BART_036-O-21-winterSpringTransition-2022,tInitial,0,2022-04-26T17:17:00Z,BART-20220426-BRef1,10.17,100,2022-04-26T20:00:00Z,OK,NA,0000-0003-3463-8507,0000-0003-1265-2180,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
3fa0f7f2-c838-4a08-9fa5-79d85883938a,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T14:14:00Z,2022-04-25T14:14:00Z,NEON.DOC.014048vO,BART_036-M-23-20220425,A00000157443,BART_036-M-23-20220425-KCL,B00000068941,BART_036-M-23-winterSpringTransition-2022,tInitial,0,2022-04-26T16:12:00Z,BART-20220426-BRef1,10.21,100,2022-04-26T19:00:00Z,OK,NA,0000-0003-3463-8507,0000-0003-1265-2180,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
cafbbed6-74ba-4f6b-9e38-4ce69def0db9,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T14:14:00Z,2022-04-25T14:14:00Z,NEON.DOC.014048vO,BART_036-O-23-20220425,A00000157490,BART_036-O-23-20220425-KCL,B00000068958,BART_036-O-23-winterSpringTransition-2022,tInitial,0,2022-04-26T16:36:00Z,BART-20220426-BRef1,9.93,100,2022-04-26T20:00:00Z,OK,NA,0000-0003-3463-8507,0000-0003-1265-2180,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
15d23b1e-0846-44ec-b3a5-32135168fb7b,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T14:51:00Z,2022-04-25T14:51:00Z,NEON.DOC.014048vO,BART_036-M-41-20220425,A00000157411,BART_036-M-41-20220425-KCL,B00000068930,BART_036-M-41-winterSpringTransition-2022,tInitial,0,2022-04-26T15:29:00Z,BART-20220426-BRef1,10.17,100,2022-04-26T20:00:00Z,OK,NA,0000-0003-3463-8507,0000-0003-1265-2180,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
d42ec425-8866-42c5-9bfe-3f9ac527976d,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T14:51:00Z,2022-04-25T14:51:00Z,NEON.DOC.014048vO,BART_036-O-41-20220425,A00000157474,BART_036-O-41-20220425-KCL,B00000068948,BART_036-O-41-winterSpringTransition-2022,tInitial,0,2022-04-26T16:50:00Z,BART-20220426-BRef1,10.08,100,2022-04-26T20:00:00Z,OK,NA,0000-0003-3463-8507,0000-0003-1265-2180,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
4deed7c6-2e62-4eb5-a54a-878ec773c38e,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T12:27:00Z,2022-05-17T18:22:00Z,NEON.DOC.014048vO,BART_036-M-21-20220517,A00000157452,BART_036-M-21-20220517-KCL,B00000068886,BART_036-M-21-winterSpringTransition-2022,tFinal,22.25,2022-05-18T14:29:00Z,BART-20220518-BREF1,10.08,100,2022-05-18T19:00:00Z,OK,NA,0000-0003-3463-8507,0000-0002-7782-1339,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
22c4eb23-08cc-4334-b21a-db21dce3da20,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T12:27:00Z,2022-05-17T18:22:00Z,NEON.DOC.014048vO,BART_036-O-21-20220517,A00000153577,BART_036-O-21-20220517-KCL,B00000069011,BART_036-O-21-winterSpringTransition-2022,tFinal,22.25,2022-05-18T13:58:00Z,BART-20220518-BREF1,10.06,100,2022-05-18T20:00:00Z,OK,NA,0000-0003-3463-8507,0000-0002-7782-1339,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
030da0b3-e6f4-45ac-b17d-98d99dac18c0,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T14:14:00Z,2022-05-17T18:11:00Z,NEON.DOC.014048vO,BART_036-M-23-20220517,A00000157465,BART_036-M-23-20220517-KCL,B00000068884,BART_036-M-23-winterSpringTransition-2022,tFinal,22.16,2022-05-18T14:48:00Z,BART-20220518-BREF1,10.06,100,2022-05-18T19:00:00Z,OK,NA,0000-0003-3463-8507,0000-0002-7782-1339,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
2b14bfef-2b24-4bfb-9114-29b1b887eedf,BART_036.basePlot.bgc,D01,BART,BART_036,tower,2022-04-25T14:14:00Z,2022-05-17T18:11:00Z,NEON.DOC.014048vO,BART_036-O-23-20220517,A00000153578,BART_036-O-23-20220517-KCL,B00000069008,BART_036-O-23-winterSpringTransition-2022,tFinal,22.16,2022-05-18T18:56:00Z,BART-20220518-BREF1,4.11,41,2022-05-18T21:00:00Z,OK,NA,0000-0003-3463-8507,0000-0002-7782-1339,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,ntr_internalLab
