uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d7c94702-6443-4ab7-b6a8-8b1b8fdb4a95,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,39_400,19.5,35.5,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2020-12-16T14:06:00Z,2021-01-07T12:24:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2020-2021,0,tFinal,fieldOnly,OK,covered core,OK,LAJA_003-M-19.5-35.5-20210107,A00000192129,N,M,OK,23.6,0,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193823Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
0260d659-51cc-4d31-9d8f-b84123881ad8,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,23_400,31,8,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2020-12-16T14:34:00Z,2021-01-07T12:29:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2020-2021,0,tFinal,fieldOnly,OK,covered core,OK,LAJA_003-M-31-8-20210107,A00000192128,N,M,OK,24.3,0,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193823Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
2261b209-a66b-4414-b49c-4643f576b610,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,21_400,13.5,5,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2020-12-16T14:52:00Z,2021-01-07T12:17:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2020-2021,0,tFinal,fieldOnly,OK,covered core,OK,LAJA_003-M-13.5-5-20210107,A00000192130,N,M,OK,23.7,0,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193823Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
2a338926-6d8d-4b63-8c1b-80d7e5be519c,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,39_400,6,28,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-07-13T13:33:00Z,2021-07-13T13:33:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2021-2022,0,No,microbes,OK,no incubation,NA,LAJA_003-M-6-28-20210713,A00000192968,N,M,OK,26.3,0.5,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000020638,NA,NA,C00000020624,NA,NA,C00000020639,NA,NA,C00000020640,NA,NA,C00000020641,NA,NA,NA,NA,NA,NA,NA,0000-0002-4299-7043,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
8db4d651-0bb6-430a-8789-cac8de6df91a,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,23_400,25,6,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-07-13T14:03:00Z,2021-07-13T14:03:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2021-2022,0,No,microbes,OK,no incubation,NA,LAJA_003-M-25-6-20210713,A00000192969,N,M,OK,27.3,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000020634,NA,NA,C00000020635,NA,NA,C00000020630,NA,NA,C00000020636,NA,NA,C00000020637,NA,NA,NA,NA,NA,NA,NA,0000-0002-4299-7043,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
4f0e965c-45af-40da-b9f5-7ef0be59768e,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,41_400,33.5,35.5,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-07-13T14:32:00Z,2021-07-13T14:32:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2021-2022,0,No,microbes,OK,no incubation,NA,LAJA_003-M-33.5-35.5-20210713,A00000192967,N,M,OK,28.4,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000020628,NA,NA,C00000020629,NA,NA,C00000020633,NA,NA,C00000020631,NA,NA,C00000020632,NA,NA,NA,NA,NA,NA,NA,0000-0002-4299-7043,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
7318de7e-511d-4e15-99dc-fe8d68e01f6f,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,21_400,14.5,8,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-10-25T18:06:00Z,2021-10-25T18:06:00Z,peakGreenness,OK - no known exceptions,LAJA.peakGreenness.2021-2022,0,No,microbes,OK,no incubation,NA,LAJA_003-M-14.5-8-20211025,A00000192980,N,M,OK,31,0,0,22,maximum,auger,1,NA,NA,NA,NA,NA,C00000066069,NA,NA,C00000066065,NA,NA,C00000066067,NA,NA,C00000066066,NA,NA,C00000066068,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
0fa04819-6131-46ae-9af6-a05341607a11,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,23_400,37,12,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-10-25T18:41:00Z,2021-10-25T18:41:00Z,peakGreenness,OK - no known exceptions,LAJA.peakGreenness.2021-2022,0,No,microbes,OK,no incubation,NA,LAJA_003-M-37-12-20211025,A00000192979,NA,M,OK,29.1,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000021033,NA,NA,C00000021030,NA,NA,C00000021032,NA,NA,C00000021031,NA,NA,C00000021034,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
b9a065a2-00a0-4ea3-b438-828295062cfa,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,41_400,38,34,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-10-25T19:22:00Z,2021-10-25T19:22:00Z,peakGreenness,OK - no known exceptions,LAJA.peakGreenness.2021-2022,0,No,microbes,OK,no incubation,NA,LAJA_003-M-38-34-20211025,A00000192978,NA,M,OK,31,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000020979,NA,NA,C00000020976,NA,NA,C00000020978,NA,NA,C00000020975,NA,NA,C00000020977,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
5fb80cd6-8101-4a29-abc1-d350aab49eb0,D04,LAJA,LAJA_003,LAJA_003.basePlot.bgc,distributed,pastureHay,39_400,NA,NA,WGS84,18.025922,-67.081365,20.1,18.2,0.1,NEON.DOC.014048vN,2021-12-21T12:00:00Z,2021-12-21T12:00:00Z,wetDryTransition,unknown - logistical,LAJA.wetDryTransition.2021-2022,NA,No,microbes,management,NA,NA,LAJA_003-39-20211221-MANAGEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site Harvested,0000-0002-6589-9569,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,LAJA,2021,sls_soilCoreCollection
