uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
4aea017d-3210-45fb-a41c-fed1acd2c31a,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-04-30T22:48:00Z,2019-04-30T22:48:00Z,NEON.DOC.014048vL,WREF_072-M-21-6-20190430,A00000059955,WREF_072-M-21-6-20190430-KCL,B00000040842,WREF_072-M-21-6,tInitial,0,2019-05-01T17:48:00Z,WREF-20190501-BRef1,10.04,100,2019-05-01T20:00:00Z,OK,NA,0000-0001-9947-8001,0000-0002-7203-5072,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
f530b528-21ec-4000-8bcf-705cc1b45480,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-04-30T23:21:00Z,2019-04-30T23:21:00Z,NEON.DOC.014048vL,WREF_072-O-1.5-19-20190430,A00000059954,WREF_072-O-1.5-19-20190430-KCL,B00000040859,WREF_072-O-1.5-19,tInitial,0,2019-05-01T17:57:00Z,WREF-20190501-BRef1,10.05,100,2019-05-01T20:00:00Z,OK,NA,0000-0001-9947-8001,0000-0002-7203-5072,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
0289ea34-98a7-4f6f-87f9-f435917a49bb,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-04-30T23:33:00Z,2019-04-30T23:33:00Z,NEON.DOC.014048vL,WREF_072-M-1.5-19-20190430,A00000059943,WREF_072-M-1.5-19-20190430-KCL,B00000040851,WREF_072-M-1.5-19,tInitial,0,2019-05-01T17:52:00Z,WREF-20190501-BRef1,9.97,100,2019-05-01T20:00:00Z,OK,NA,0000-0001-9947-8001,0000-0002-7203-5072,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
c8eaf1b0-82aa-40eb-8818-ae8cd0198a24,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-04-30T22:48:00Z,2019-05-21T19:22:00Z,NEON.DOC.014048vL,WREF_072-M-21-6-20190521,A00000060088,WREF_072-M-21-6-20190521-KCL,B00000041028,WREF_072-M-21-6,tFinal,20.86,2019-05-22T18:33:00Z,WREF-20190522-BRef1,9.95,100,2019-05-22T22:00:00Z,OK,NA,0000-0002-2939-423X,0000-0003-2593-761X,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
be6a4a06-b983-484b-ba60-32158153a50a,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-04-30T23:21:00Z,2019-05-21T19:41:00Z,NEON.DOC.014048vL,WREF_072-O-1.5-19-20190521,A00000060086,WREF_072-O-1.5-19-20190521-KCL,B00000041022,WREF_072-O-1.5-19,tFinal,20.85,2019-05-22T18:36:00Z,WREF-20190522-BRef1,10.08,100,2019-05-22T22:00:00Z,OK,NA,0000-0002-2939-423X,0000-0003-2593-761X,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
b095834b-f92b-4ba4-ae6d-8a6cf5920e90,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-04-30T23:33:00Z,2019-05-21T19:34:00Z,NEON.DOC.014048vL,WREF_072-M-1.5-19-20190521,A00000060087,WREF_072-M-1.5-19-20190521-KCL,B00000041023,WREF_072-M-1.5-19,tFinal,20.83,2019-05-22T18:34:00Z,WREF-20190522-BRef1,9.99,100,2019-05-22T22:00:00Z,OK,NA,0000-0002-2939-423X,0000-0003-2593-761X,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
237a4194-8941-4f4b-b866-6a3febb00bbc,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-05-01T00:11:00Z,2019-05-01T00:11:00Z,NEON.DOC.014048vL,WREF_072-M-2.5-38.5-20190430,A00000059953,WREF_072-M-2.5-38.5-20190430-KCL,B00000040852,WREF_072-M-2.5-38.5,tInitial,0,2019-05-01T18:04:00Z,WREF-20190501-BRef1,10.02,100,2019-05-01T20:00:00Z,OK,NA,0000-0001-9947-8001,0000-0002-7203-5072,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
1282f2ce-48a1-417a-aabf-c5f91424f6eb,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-05-01T00:11:00Z,2019-05-21T19:54:00Z,NEON.DOC.014048vL,WREF_072-M-2.5-38.5-20190521,A00000060085,WREF_072-M-2.5-38.5-20190521-KCL,B00000041031,WREF_072-M-2.5-38.5,tFinal,20.82,2019-05-22T18:35:00Z,WREF-20190522-BRef1,9.99,100,2019-05-22T22:00:00Z,OK,NA,0000-0002-2939-423X,0000-0003-2593-761X,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
94c25bcf-8428-45b4-b6f3-e69b05d14dc2,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-06-18T16:48:00Z,2019-06-18T16:48:00Z,NEON.DOC.014048vL,WREF_072-O-20.5-36.5-20190618,A00000060563,WREF_072-O-20.5-36.5-20190618-KCL,B00000041197,WREF_072-O-20.5-36.5,tInitial,0,2019-06-19T17:30:00Z,WREF-20190619-BRef1,5.05,100,2019-06-19T20:00:00Z,OK,Not enough sample for full 10g - okay per protocol,0000-0001-8510-4041,0000-0003-2593-761X,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
f234429b-4b70-494f-a284-8ccbc9f90c93,WREF_072.basePlot.bgc,D16,WREF,WREF_072,tower,2019-06-18T16:58:00Z,2019-06-18T16:58:00Z,NEON.DOC.014048vL,WREF_072-M-20.5-36.5-20190618,A00000060564,WREF_072-M-20.5-36.5-20190618-KCL,B00000041203,WREF_072-M-20.5-36.5,tInitial,0,2019-06-19T17:30:00Z,WREF-20190619-BRef1,10.03,100,2019-06-19T20:00:00Z,OK,NA,0000-0001-8510-4041,0000-0003-2593-761X,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,WREF,2019,ntr_internalLab
