uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
dedb9038-2d5a-4478-82b6-6d1e082c1fda,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,39_400,2,20,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-07-26T14:13:00Z,2023-07-26T14:13:00Z,dryWetTransition,conditions not met,GUAN.dryWetTransition.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_001-M-39-20230726,A00000199286,N,M,OK,27.4,3,0,30,maximum,probe,1,GUAN_001-M-39-20230726-GEN,B00000077429,OK,dry ice,NA,D00000220274,NA,NA,D00000220273,NA,NA,D00000220275,NA,NA,D00000220276,NA,NA,D00000220277,NA,dry ice,2 mL vial,GUAN_001-M-39-20230726-BM,B00000130584,OK,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
a649fb1b-4ecf-445d-92db-7231695cb303,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,41_400,24,36.5,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-07-26T14:32:00Z,2023-07-26T14:32:00Z,dryWetTransition,conditions not met,GUAN.dryWetTransition.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_001-M-41-20230726,A00000199272,N,M,OK,27.5,2,0,30,maximum,probe,1,GUAN_001-M-41-20230726-GEN,B00000077391,OK,dry ice,NA,D00000220267,NA,NA,D00000220266,NA,NA,D00000220264,NA,NA,D00000220265,NA,NA,D00000220263,NA,dry ice,2 mL vial,GUAN_001-M-41-20230726-BM,B00000130588,OK,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
e4d32f7a-01b0-4f05-bdd2-6aca06f9d678,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,21_400,17.5,1,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-07-26T14:53:00Z,2023-07-26T14:53:00Z,dryWetTransition,conditions not met,GUAN.dryWetTransition.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_001-M-21-20230726,A00000199302,N,M,OK,27.7,5,0,18,obstruction,probe,1,GUAN_001-M-21-20230726-GEN,B00000077394,OK,dry ice,NA,D00000220268,NA,NA,D00000220270,NA,NA,D00000220272,NA,NA,D00000220269,NA,NA,D00000220271,NA,dry ice,2 mL vial,GUAN_001-M-21-20230726-BM,B00000130593,OK,rock obstruction| root obstruction| Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
0fbd8a2b-94e6-4513-87e0-c12020a15dc6,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,41_400,25.5,37,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-01-17T14:27:00Z,2023-01-17T14:27:00Z,wetDryTransition,conditions not met,GUAN.wetDryTransition.2022-2023,0,tInitial,microbesBiomass,OK,no incubation,NA,GUAN_001-M-41-20230117,A00000198314,N,M,OK,22.5,2,0,30,maximum,probe,1,GUAN_001-M-41-20230117-GEN,B00000077409,OK,dry ice,NA,D00000006764,NA,NA,D00000006761,NA,NA,D00000143518,NA,NA,D00000143581,NA,NA,D00000006555,NA,dry ice,2 mL vial,GUAN_001-M-41-20230117-BM,B00000077299,OK,"still some rain, not quite dry season transition",0000-0001-8629-4086,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
3b2ca6c4-eb3b-4388-818d-dfac92cdea6a,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,41_400,25.5,37,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-01-17T14:27:00Z,2023-01-31T14:32:00Z,wetDryTransition,OK - no known exceptions,GUAN.wetDryTransition.2022-2023,0,tFinal,fieldOnly,OK,covered core,OK,GUAN_001-M-41-20230131,A00000198361,N,M,OK,22.1,2.3,0,15,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
8ad751e3-72e3-4cd0-a234-e9203753baeb,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,39_400,16,37.5,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-01-17T14:46:00Z,2023-01-17T14:46:00Z,wetDryTransition,conditions not met,GUAN.wetDryTransition.2022-2023,0,tInitial,microbesBiomass,OK,no incubation,NA,GUAN_001-M-39-20230117,A00000198315,N,M,OK,22.5,2,0,30,maximum,probe,1,GUAN_001-M-39-20230117-GEN,B00000077412,OK,dry ice,NA,D00000006664,NA,NA,D00000006568,NA,NA,D00000143572,NA,NA,D00000006585,NA,NA,D00000143535,NA,dry ice,2 mL vial,GUAN_001-M-39-20230117-BM,B00000077292,OK,"still some rain, not quite dry season transition",0000-0001-8629-4086,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
e059d5e5-b022-47d4-a60d-b6427a2cf634,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,21_400,4,18,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-01-17T14:46:00Z,2023-01-31T14:14:00Z,wetDryTransition,OK - no known exceptions,GUAN.wetDryTransition.2022-2023,0,tFinal,fieldOnly,OK,covered core,OK,GUAN_001-M-21-20230131,A00000198362,N,M,OK,22.2,3,0,15,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
37030170-7b1a-4e47-80ad-550b49eba7bb,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,21_400,4,18,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-01-17T15:09:00Z,2023-01-17T15:09:00Z,wetDryTransition,conditions not met,GUAN.wetDryTransition.2022-2023,0,tInitial,microbesBiomass,OK,no incubation,NA,GUAN_001-M-21-20230117,A00000198316,N,M,OK,22.4,1.5,0,30,maximum,probe,1,GUAN_001-M-21-20230117-GEN,B00000077410,OK,dry ice,NA,D00000006551,NA,NA,D00000006543,NA,NA,D00000006564,NA,NA,D00000006569,NA,NA,D00000006661,NA,dry ice,2 mL vial,GUAN_001-M-21-20230117-BM,B00000077293,OK,"still some rain, not quite dry season transition",0000-0001-8629-4086,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
adf3e931-fa07-4476-9c45-e96ae9fb26c6,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,39_400,16,37.5,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-01-17T15:09:00Z,2023-01-31T14:21:00Z,wetDryTransition,OK - no known exceptions,GUAN.wetDryTransition.2022-2023,0,tFinal,fieldOnly,OK,covered core,OK,GUAN_001-M-39-20230131,A00000198359,N,M,OK,22,3.6,0,15,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
382ac9e0-6b63-482e-aa09-daa288a655f8,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,evergreenForest,21_400,4.5,15.5,WGS84,17.972768,-66.851235,20.1,149.5,0.14,NEON.DOC.014048vO,2023-08-31T11:26:00Z,2023-08-31T11:26:00Z,peakGreenness,OK - schedule change but conditions met,GUAN.peakGreenness.2023-2024,0,No,microbesBiomass,OK,no incubation,NA,GUAN_001-M-21-20230831,A00000199281,N,M,OK,28,2.5,0,30,maximum,probe,1,GUAN_001-M-21-20230831-GEN,B00000077873,OK,dry ice,NA,C00000068567,NA,NA,C00000068570,NA,NA,C00000068569,NA,NA,C00000068573,NA,NA,C00000068568,NA,dry ice,5 mL vial,GUAN_001-M-21-20230831-BM,B00000077911,OK,NA,0000-0002-4067-8225,NA,20251217T193915Z,RELEASE-2026,DP1.10086.001,GUAN,2023,sls_soilCoreCollection
