uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d3aef7aa-db97-49a8-a7d4-d283378a0ac8,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-07-14T14:13:00Z,2021-07-14T14:13:00Z,NEON.DOC.014048vN,WOOD_001-M-0-14-20210714,NA,WOOD_001-M-0-14-20210714-KCL,B00000097156,WOOD_001-M-0-14,tInitial,0,2021-07-15T16:30:00Z,WOOD-20210715-BRef1,4.96,50,2021-07-15T18:00:00Z,OK,NA,0000-0003-4469-9952,0000-0003-2190-153X,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
fc125e66-faf3-41dc-8041-e398c04390dd,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-07-14T14:13:00Z,2021-07-28T14:29:00Z,NEON.DOC.014048vN,WOOD_001-M-0-14-20210728,NA,WOOD_001-M-0-14-20210728-KCL,B00000097255,WOOD_001-M-0-14,tFinal,14.01,2021-07-29T14:18:00Z,WOOD-20210729-BRef1,5.09,50,2021-07-29T16:00:00Z,OK,NA,0000-0002-8352-658X,0000-0002-8352-658X,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
bc132a07-5e61-4f74-9db4-224c192a065e,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-07-14T14:33:00Z,2021-07-14T14:33:00Z,NEON.DOC.014048vN,WOOD_001-M-6.5-26-20210714,NA,WOOD_001-M-6.5-26-20210714-KCL,B00000097157,WOOD_001-M-6.5-26,tInitial,0,2021-07-15T16:30:00Z,WOOD-20210715-BRef1,5.02,50,2021-07-15T18:00:00Z,OK,NA,0000-0003-4469-9952,0000-0003-2190-153X,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
51f7e7c5-06fd-411a-a0d3-2716207122f0,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-07-14T14:33:00Z,2021-07-28T14:31:00Z,NEON.DOC.014048vN,WOOD_001-M-6.5-26-20210728,NA,WOOD_001-M-6.5-26-20210728-KCL,B00000097254,WOOD_001-M-6.5-26,tFinal,14,2021-07-29T14:18:00Z,WOOD-20210729-BRef1,5,50,2021-07-29T16:00:00Z,OK,NA,0000-0002-8352-658X,0000-0002-8352-658X,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
af8dee04-96de-4f79-8724-1cc969b0d0ed,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-07-14T14:48:00Z,2021-07-14T14:48:00Z,NEON.DOC.014048vN,WOOD_001-M-30.5-2-20210714,NA,WOOD_001-M-30.5-2-20210714-KCL,B00000097149,WOOD_001-M-30.5-2,tInitial,0,2021-07-15T16:30:00Z,WOOD-20210715-BRef1,5.02,50,2021-07-15T18:00:00Z,OK,NA,0000-0003-4469-9952,0000-0003-2190-153X,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
76956e80-0cc7-4246-8865-3f4d6b65364b,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-07-14T14:48:00Z,2021-07-28T14:26:00Z,NEON.DOC.014048vN,WOOD_001-M-30.5-2-20210728,NA,WOOD_001-M-30.5-2-20210728-KCL,B00000097256,WOOD_001-M-30.5-2,tFinal,13.98,2021-07-29T14:16:00Z,WOOD-20210729-BRef1,5.07,50,2021-07-29T16:00:00Z,OK,NA,0000-0002-8352-658X,0000-0002-8352-658X,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
c032f08a-3a25-4c46-b6e7-e2575206b87f,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-05-04T14:47:00Z,2021-05-04T14:47:00Z,NEON.DOC.014048vN,WOOD_001-M-0-6-20210504,A00000137964,WOOD_001-M-0-6-20210504-KCL,B00000096888,WOOD_001-M-0-6,tInitial,0,2021-05-05T15:38:00Z,WOOD-20210505-BRef1,10.34,100,2021-05-05T17:00:00Z,OK,NA,0000-0002-8352-658X,0000-0002-6068-4956,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
304e4497-2d6e-434f-abef-bbf9f761bc5e,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-05-04T14:47:00Z,2021-05-31T14:53:00Z,NEON.DOC.014048vN,WOOD_001-M-0-6-20210531,NA,WOOD_001-M-0-6-20210531-KCL,B00000096938,WOOD_001-M-0-6,tFinal,27,2021-06-01T21:00:00Z,WOOD-20210601-BRef1,5.04,50,2021-06-01T22:00:00Z,OK,NA,0000-0002-8352-658X,0000-0001-9009-8643,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
b4d0ed13-1d58-4e51-ab97-61010aaef353,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-05-04T15:06:00Z,2021-05-04T15:06:00Z,NEON.DOC.014048vN,WOOD_001-M-31-25.5-20210504,A00000137966,WOOD_001-M-31-25.5-20210504-KCL,B00000096890,WOOD_001-M-31-25.5,tInitial,0,2021-05-05T15:38:00Z,WOOD-20210505-BRef1,10.17,100,2021-05-05T17:00:00Z,OK,NA,0000-0002-8352-658X,0000-0002-6068-4956,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
78025f57-a242-43b1-a475-6ddd06aabd17,WOOD_001.basePlot.bgc,D09,WOOD,WOOD_001,distributed,2021-05-04T15:06:00Z,2021-05-31T14:59:00Z,NEON.DOC.014048vN,WOOD_001-M-31-25.5-20210531,NA,WOOD_001-M-31-25.5-20210531-KCL,B00000096939,WOOD_001-M-31-25.5,tFinal,27,2021-06-01T21:00:00Z,WOOD-20210601-BRef1,5.03,50,2021-06-01T22:00:00Z,OK,NA,0000-0002-8352-658X,0000-0001-9009-8643,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_internalLab
