uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
15c3b78b-58e8-4561-9ff6-6e50a3d131db,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-07-05T18:40:00Z,2022-07-05T18:40:00Z,NEON.DOC.014048vO,JORN_042-M-21-20220705,A00000354940,JORN_042-M-21-20220705-KCL,B00000111242,JORN_042-M-21-dryWetTransition-2022,tInitial,0,2022-07-06T17:24:00Z,JORN-20220706-BREF1,10,100,2022-07-06T19:00:00Z,OK,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
4148df18-ef82-470f-9f0c-bbfd1bdc140e,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-07-05T18:40:00Z,2022-07-26T15:27:00Z,NEON.DOC.014048vO,JORN_042-M-21-20220726,A00000355561,JORN_042-M-21-20220726-KCL,B00000111384,JORN_042-M-21-dryWetTransition-2022,tFinal,20.87,2022-07-27T15:13:00Z,JORN-20220727-BREF1,10.21,100,2022-07-27T17:00:00Z,OK,NA,0000-0002-3695-3837,0000-0002-0596-3792,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
322ff8b2-e51b-42d7-93f1-61a589290eeb,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-07-05T18:50:00Z,2022-07-05T18:50:00Z,NEON.DOC.014048vO,JORN_042-M-23-20220705,A00000354924,JORN_042-M-23-20220705-KCL,B00000111244,JORN_042-M-23-dryWetTransition-2022,tInitial,0,2022-07-06T17:21:00Z,JORN-20220706-BREF1,10,100,2022-07-06T19:00:00Z,OK,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
0c85f54e-76b9-41a9-8977-e461590d855d,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-07-05T18:50:00Z,2022-07-26T15:33:00Z,NEON.DOC.014048vO,JORN_042-M-23-20220726,A00000355563,JORN_042-M-23-20220726-KCL,B00000111381,JORN_042-M-23-dryWetTransition-2022,tFinal,20.86,2022-07-27T15:14:00Z,JORN-20220727-BREF1,10.25,99,2022-07-27T17:00:00Z,OK,NA,0000-0002-3695-3837,0000-0002-0596-3792,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
280b7cb9-eba1-482a-b08a-7a36a2c9ad86,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-07-05T19:12:00Z,2022-07-05T19:12:00Z,NEON.DOC.014048vO,JORN_042-M-39-20220705,A00000354923,JORN_042-M-39-20220705-KCL,B00000111243,JORN_042-M-39-dryWetTransition-2022,tInitial,0,2022-07-06T17:16:00Z,JORN-20220706-BREF1,10,100,2022-07-06T19:00:00Z,OK,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
571fb49c-6711-4acd-82c5-03cdd58284af,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-07-05T19:12:00Z,2022-07-26T15:42:00Z,NEON.DOC.014048vO,JORN_042-M-39-20220726,A00000355562,JORN_042-M-39-20220726-KCL,B00000111382,JORN_042-M-39-dryWetTransition-2022,tFinal,20.85,2022-07-27T15:12:00Z,JORN-20220727-BREF1,10.1,100,2022-07-27T17:00:00Z,OK,NA,0000-0002-3695-3837,0000-0002-0596-3792,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
f4c63a43-2f34-43d3-ba6c-c509baebf5d5,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-08-30T18:15:00Z,2022-08-30T18:15:00Z,NEON.DOC.014048vO,JORN_042-M-39-20220830,A00000356015,JORN_042-M-39-20220830-KCL,B00000111554,JORN_042-M-39-peakGreenness-2022,tInitial,0,2022-08-31T16:05:00Z,JORN-20220831-BREF1,10.14,100,2022-08-31T18:00:00Z,OK,NA,0000-0002-5964-2409,0000-0001-6592-4421,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
40153ba1-0d9e-4af4-b539-3a691c7c11d2,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-08-30T18:30:00Z,2022-08-30T18:30:00Z,NEON.DOC.014048vO,JORN_042-M-21-20220830,A00000356016,JORN_042-M-21-20220830-KCL,B00000111537,JORN_042-M-21-peakGreenness-2022,tInitial,0,2022-08-31T16:04:00Z,JORN-20220831-BREF1,10.04,100,2022-08-31T18:00:00Z,OK,NA,0000-0002-5964-2409,0000-0001-6592-4421,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
e41ed609-a3b1-4545-bec9-402434442d6f,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-08-30T18:49:00Z,2022-08-30T18:49:00Z,NEON.DOC.014048vO,JORN_042-M-23-20220830,A00000356017,JORN_042-M-23-20220830-KCL,B00000111547,JORN_042-M-23-peakGreenness-2022,tInitial,0,2022-08-31T16:06:00Z,JORN-20220831-BREF1,10.13,100,2022-08-31T18:00:00Z,OK,NA,0000-0002-5964-2409,0000-0001-6592-4421,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
eaf80da9-22af-4981-a2c7-fccac06a2389,JORN_042.basePlot.bgc,D14,JORN,JORN_042,tower,2022-08-30T18:15:00Z,2022-09-20T14:26:00Z,NEON.DOC.014048vO,JORN_042-M-39-20220920,A00000356239,JORN_042-M-39-20220920-KCL,B00000111623,JORN_042-M-39-peakGreenness-2022,tFinal,20.84,2022-09-21T14:22:00Z,JORN-20220921-BREF1,9.94,100,2022-09-21T16:00:00Z,OK,NA,0000-0002-0596-3792,0000-0002-5153-9263,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_internalLab
