uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
998de829-2468-4699-b816-b51d8e65645e,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-02-22T16:50:00Z,2024-02-22T16:50:00Z,NEON.DOC.014048vP,SJER_004-M-23-20240222,A00000395683,SJER_004-M-23-20240222-KCL,B00000125323,SJER_004-M-23-peakGreenness-2023-2024,tInitial,0,2024-02-23T20:09:00Z,SJER-20240223-BREF1,10.05,100,2024-02-23T22:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
28881936-f3f6-42ee-84ec-4b5b419a1cf6,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-02-22T17:28:00Z,2024-02-22T17:28:00Z,NEON.DOC.014048vP,SJER_004-M-41-20240222,A00000395681,SJER_004-M-41-20240222-KCL,B00000125321,SJER_004-M-41-peakGreenness-2023-2024,tInitial,0,2024-02-23T20:08:00Z,SJER-20240223-BREF1,10.04,100,2024-02-23T22:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
4e1f20f7-6557-435c-a692-d98ac9aac92c,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-02-22T17:56:00Z,2024-02-22T17:56:00Z,NEON.DOC.014048vP,SJER_004-M-39-20240222,A00000395682,SJER_004-M-39-20240222-KCL,B00000125322,SJER_004-M-39-peakGreenness-2023-2024,tInitial,0,2024-02-23T20:10:00Z,SJER-20240223-BREF1,10.16,100,2024-02-23T22:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
b9b5010a-0f8d-4a8e-8192-388bf459eb92,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-02-22T16:50:00Z,2024-03-13T20:24:00Z,NEON.DOC.014048vP,SJER_004-M-23-20240313,A00000395750,SJER_004-M-23-20240313-KCL,B00000143816,SJER_004-M-23-peakGreenness-2023-2024,tFinal,20.15,2024-03-14T22:14:00Z,SJER-20240314-BREF1,10.18,100,2024-03-15T00:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9949-1731,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
af7a069a-4f26-4675-8991-8243e1392cec,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-02-22T17:28:00Z,2024-03-13T20:42:00Z,NEON.DOC.014048vP,SJER_004-M-41-20240313,A00000395724,SJER_004-M-41-20240313-KCL,B00000143817,SJER_004-M-41-peakGreenness-2023-2024,tFinal,20.13,2024-03-14T22:15:00Z,SJER-20240314-BREF1,9.99,100,2024-03-15T00:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9949-1731,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
97b8c402-1449-43bb-b9af-e0e3c5ba777e,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-02-22T17:56:00Z,2024-03-13T20:48:00Z,NEON.DOC.014048vP,SJER_004-M-39-20240313,A00000395708,SJER_004-M-39-20240313-KCL,B00000143818,SJER_004-M-39-peakGreenness-2023-2024,tFinal,20.12,2024-03-14T22:15:00Z,SJER-20240314-BREF1,10.11,100,2024-03-15T00:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9949-1731,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
c20c337c-8539-4fa4-bb34-7031be7640ef,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-05-16T20:06:00Z,2024-06-05T17:55:00Z,NEON.DOC.014048vP,SJER_004-M-39-20240605,A00000395746,SJER_004-M-39-20240605-KCL,B00000144087,SJER_004-M-39-wetDryTransition-2023-2024,tFinal,19.91,2024-06-06T16:23:00Z,SJER-20240606-BREF2,10.15,100,2024-06-06T19:00:00Z,OK,NA,0009-0009-7975-9872,0009-0005-3443-707X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
e6739b18-b6c0-43b1-b847-60b1fe6d93d9,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-05-16T20:32:00Z,2024-06-05T17:34:00Z,NEON.DOC.014048vP,SJER_004-M-41-20240605,A00000395747,SJER_004-M-41-20240605-KCL,B00000144126,SJER_004-M-41-wetDryTransition-2023-2024,tFinal,19.88,2024-06-06T16:24:00Z,SJER-20240606-BREF2,10.38,100,2024-06-06T19:00:00Z,OK,NA,0009-0009-7975-9872,0009-0005-3443-707X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
a357c779-3d1c-4f4f-b617-46854fa30317,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-05-16T20:37:00Z,2024-06-05T17:46:00Z,NEON.DOC.014048vP,SJER_004-M-23-20240605,A00000395745,SJER_004-M-23-20240605-KCL,B00000144127,SJER_004-M-23-wetDryTransition-2023-2024,tFinal,19.88,2024-06-06T16:23:00Z,SJER-20240606-BREF2,10.01,100,2024-06-06T19:00:00Z,OK,NA,0009-0009-7975-9872,0009-0005-3443-707X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
7e3d817f-2d74-483f-b2c2-031a74ff95f2,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-05-16T20:06:00Z,2024-05-16T20:06:00Z,NEON.DOC.014048vP,SJER_004-M-39-20240516,A00000397419,SJER_004-M-39-20240516-KCL,B00000168099,SJER_004-M-39-wetDryTransition-2023-2024,tInitial,0,2024-05-17T18:05:00Z,SJER-20240517-BREF2,9.53,100,2024-05-17T20:00:00Z,OK,NA,0009-0005-3443-707X,0009-0009-7975-9872,NA,20251217T193641Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
7735cadd-a2a2-4229-8dc7-c7499b391b43,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-05-16T20:32:00Z,2024-05-16T20:32:00Z,NEON.DOC.014048vP,SJER_004-M-41-20240516,A00000397418,SJER_004-M-41-20240516-KCL,B00000168108,SJER_004-M-41-wetDryTransition-2023-2024,tInitial,0,2024-05-17T18:06:00Z,SJER-20240517-BREF2,10.07,100,2024-05-17T20:00:00Z,OK,NA,0009-0005-3443-707X,0009-0009-7975-9872,NA,20251217T193641Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
ba9620e1-1a65-4ad5-ae05-707cd983c77f,SJER_004.basePlot.bgc,D17,SJER,SJER_004,distributed,2024-05-16T20:37:00Z,2024-05-16T20:37:00Z,NEON.DOC.014048vP,SJER_004-M-23-20240516,A00000397420,SJER_004-M-23-20240516-KCL,B00000168098,SJER_004-M-23-wetDryTransition-2023-2024,tInitial,0,2024-05-17T18:05:00Z,SJER-20240517-BREF2,9.88,100,2024-05-17T20:00:00Z,OK,NA,0009-0005-3443-707X,0009-0009-7975-9872,NA,20251217T193641Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
